ID_ENCABEZADO;ID_AGRP_CLINICA;ID_ORIGEN;ORIGEN;CODIGO_LOCALIDAD;LOCALIDAD;CODIGO_DEPTO;DEPARTAMENTO;CODIGO_PROVINCIA;PROVINCIA;ANIO;SEMANA;IDESTADO;ESTADO;FECHAREGISTROENCABEZADO;USUARIOREGISTROENCABEZADO;IDEVENTOAGRUPADO;NOMBREGRPEVENTOAGRP;ID_SNVS_EVENTO_AGRP;NOMBREEVENTOAGRP;IDEDAD;GRUPO;SEXO;RESIDENTE;AMBULATORIO;CANTIDAD;FECHAREGISTROCLINICA;USERREGISTROCLINICA
562984;4236946;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);8;20 a 24;;;;1;23/8/2021;rsromero1
562984;4236947;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);9;25 a 34;;;;1;23/8/2021;rsromero1
562984;4236948;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);10;35 a 44;;;;2;23/8/2021;rsromero1
562984;4236949;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);11;45 a 64;;;;8;23/8/2021;rsromero1
562984;4236950;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);12;65 a 74;;;;1;23/8/2021;rsromero1
562984;4236951;11873;HOSPITAL INTERZONAL GENERAL AGUDOS DR. LUIS A. GUEMES;6568010003;HAEDO;568;MORÓN;6;Buenos Aires;2021;6;3;CARGADA DATOS DISTINTO DE CERO;23/8/2021;rsromero1;6;Respiratorias;10;Neumonía (sin especificar);17;Edad Sin Esp.;;;;1;23/8/2021;rsromero1
536255;4072864;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2021;24;3;CARGADA DATOS DISTINTO DE CERO;22/6/2021;cftunas;6;Respiratorias;440;Neumonía en pacientes internados;8;20 a 24;;;;2;22/6/2021;cftunas
631860;5468694;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;4;3;CARGADA DATOS DISTINTO DE CERO;31/1/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);8;20 a 24;;;;9;29/7/2022;cftunas
631860;5468695;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;4;3;CARGADA DATOS DISTINTO DE CERO;31/1/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);9;25 a 34;;;;15;29/7/2022;cftunas
631860;5468696;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;4;3;CARGADA DATOS DISTINTO DE CERO;31/1/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);10;35 a 44;;;;16;29/7/2022;cftunas
631860;5468697;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;4;3;CARGADA DATOS DISTINTO DE CERO;31/1/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);11;45 a 64;;;;18;29/7/2022;cftunas
631860;5468698;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;4;3;CARGADA DATOS DISTINTO DE CERO;31/1/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);12;65 a 74;;;;2;29/7/2022;cftunas
755518;5697475;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;7;15 a 19;;;;4;19/9/2022;cftunas
755518;5697476;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;8;20 a 24;;;;4;19/9/2022;cftunas
755518;5697477;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;9;25 a 34;;;;5;19/9/2022;cftunas
755518;5697478;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;10;35 a 44;;;;9;19/9/2022;cftunas
755518;5697479;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;11;45 a 64;;;;8;19/9/2022;cftunas
755518;5697480;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;7;Gastroentéricas;11;Diarreas;13;>= a 75;;;;1;19/9/2022;cftunas
755518;5697481;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);7;15 a 19;;;;5;19/9/2022;cftunas
755518;5697482;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);8;20 a 24;;;;4;19/9/2022;cftunas
755518;5697483;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);9;25 a 34;;;;11;19/9/2022;cftunas
755518;5697484;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);10;35 a 44;;;;7;19/9/2022;cftunas
755518;5697485;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);11;45 a 64;;;;9;19/9/2022;cftunas
755518;5697486;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;8;Enfermedad tipo influenza (ETI);13;>= a 75;;;;1;19/9/2022;cftunas
755518;5697487;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;441;Neumonía en pacientes ambulatorios;7;15 a 19;;;;2;19/9/2022;cftunas
755518;5697488;11452;HOSPITAL NACIONAL PROFESOR DR. ALEJANDRO POSADAS;6568010005;VILLA SARMIENTO;568;MORÓN;6;Buenos Aires;2022;37;3;CARGADA DATOS DISTINTO DE CERO;13/9/2022;cftunas;6;Respiratorias;441;Neumonía en pacientes ambulatorios;8;20 a 24;;;;3;19/9/2022;cftunas
